latitude,longitude,region
58.24121,106.3753,Irkutsk Oblast
58.24179,106.37753,Irkutsk Oblast
58.24431,106.3788,Irkutsk Oblast
55.25006,106.49283,Irkutsk Oblast
55.24876,106.49818,Irkutsk Oblast
55.24816,106.50056,Irkutsk Oblast
55.24801,106.50352,Irkutsk Oblast
55.24786,106.50393,Irkutsk Oblast
55.25212,106.50631,Irkutsk Oblast
58.09568,106.53169,Irkutsk Oblast
58.03625,106.53359,Irkutsk Oblast
58.03851,106.53755,Irkutsk Oblast
58.03363,106.5382,Irkutsk Oblast
58.09865,106.54069,Irkutsk Oblast
58.04167,106.54279,Irkutsk Oblast
58.09478,106.54346,Irkutsk Oblast
58.0332,106.54356,Irkutsk Oblast
58.03454,106.54436,Irkutsk Oblast
58.09628,106.54455,Irkutsk Oblast
58.09725,106.54516,Irkutsk Oblast
58.03677,106.54579,Irkutsk Oblast
58.0946,106.54608,Irkutsk Oblast
58.03628,106.54624,Irkutsk Oblast
58.03537,106.54659,Irkutsk Oblast
58.09402,106.54687,Irkutsk Oblast
58.03686,106.54696,Irkutsk Oblast
58.09765,106.54701,Irkutsk Oblast
58.0316,106.54742,Irkutsk Oblast
58.09527,106.54765,Irkutsk Oblast
58.03857,106.54839,Irkutsk Oblast
58.09413,106.54872,Irkutsk Oblast
58.03914,106.55048,Irkutsk Oblast
58.03607,106.55064,Irkutsk Oblast
58.0355,106.55072,Irkutsk Oblast
58.03828,106.55095,Irkutsk Oblast
58.09961,106.55143,Irkutsk Oblast
58.09345,106.55154,Irkutsk Oblast
58.03171,106.55299,Irkutsk Oblast
58.03301,106.55396,Irkutsk Oblast
58.03469,106.55499,Irkutsk Oblast
58.03498,106.55886,Irkutsk Oblast
58.09566,106.55966,Irkutsk Oblast
51.99392,106.59121,Buryat Respublika
58.17492,106.70214,Irkutsk Oblast
58.21366,106.70483,Irkutsk Oblast
58.1765,106.70905,Irkutsk Oblast
58.1782,106.70991,Irkutsk Oblast
58.17544,106.71162,Irkutsk Oblast
58.17545,106.71445,Irkutsk Oblast
58.21054,106.71453,Irkutsk Oblast
58.1755,106.71539,Irkutsk Oblast
58.21339,106.71864,Irkutsk Oblast
58.17408,106.71899,Irkutsk Oblast
57.9872,106.78436,Irkutsk Oblast
57.98335,106.78671,Irkutsk Oblast
57.98918,106.7939,Irkutsk Oblast
57.98779,106.79849,Irkutsk Oblast
57.98256,106.79887,Irkutsk Oblast
57.99102,106.79897,Irkutsk Oblast
57.98475,106.79968,Irkutsk Oblast
57.98399,106.80093,Irkutsk Oblast
57.98615,106.80106,Irkutsk Oblast
57.98795,106.8015,Irkutsk Oblast
57.9835,106.80522,Irkutsk Oblast
57.98374,106.80598,Irkutsk Oblast
57.98302,106.80842,Irkutsk Oblast
57.98835,106.81226,Irkutsk Oblast
57.99165,106.81296,Irkutsk Oblast
57.98914,106.81591,Irkutsk Oblast
57.98813,106.81593,Irkutsk Oblast
58.05041,106.85563,Irkutsk Oblast
58.0537,106.8589,Irkutsk Oblast
58.05496,106.86012,Irkutsk Oblast
58.0545,106.86109,Irkutsk Oblast
58.05147,106.8618,Irkutsk Oblast
58.05091,106.86772,Irkutsk Oblast
58.05104,106.86924,Irkutsk Oblast
58.05644,106.86961,Irkutsk Oblast
57.35569,107.01797,Irkutsk Oblast
57.35207,107.02201,Irkutsk Oblast
57.35503,107.02894,Irkutsk Oblast
58.28444,107.02959,Irkutsk Oblast
58.28839,107.0334,Irkutsk Oblast
58.2839,107.03842,Irkutsk Oblast
58.28396,107.04034,Irkutsk Oblast
58.28716,107.04219,Irkutsk Oblast
58.06455,107.09959,Irkutsk Oblast
58.06252,107.10225,Irkutsk Oblast
58.14222,107.10249,Irkutsk Oblast
58.1414,107.10326,Irkutsk Oblast
57.96651,107.10526,Irkutsk Oblast
57.96493,107.10546,Irkutsk Oblast
58.06393,107.10685,Irkutsk Oblast
58.06269,107.10764,Irkutsk Oblast
58.1436,107.10793,Irkutsk Oblast
58.06093,107.10854,Irkutsk Oblast
58.13871,107.10912,Irkutsk Oblast
58.06546,107.10916,Irkutsk Oblast
58.0676,107.1099,Irkutsk Oblast
58.06508,107.11186,Irkutsk Oblast
58.0629,107.11315,Irkutsk Oblast
58.06193,107.1175,Irkutsk Oblast
